ms,degC
-10351,34.20
-8329,34.20
-6306,34.20
-4284,34.20
-2261,34.20
-238,34.20
1786,34.20
3810,34.20
5833,34.20
7856,34.20
9878,34.70
11900,34.70
13925,34.70
15947,34.70
17970,34.70
19992,34.70
22017,34.70
24039,34.70
26061,34.70
28084,34.70
30108,34.70
32132,34.70
-31382,35.20
-29360,35.20
-27337,35.20
-25313,35.20
-23290,35.20
-21268,35.20
-19246,35.20
-17222,35.20
-15198,35.20
-13175,35.20
-11153,35.20
-9130,35.20
-7108,35.20
-5084,35.20
-3060,35.60
-1038,35.60
985,35.60
3007,35.60
5031,35.60
7055,35.60
9077,35.60
11100,35.60
13122,35.60
15147,35.60
17169,35.60
19191,35.60
21214,35.60
23238,35.60
25261,35.60
27283,35.60
29305,35.60
31330,35.60
-32184,35.60
-30161,35.60
-28139,35.60
-26115,35.90
-24091,36.30
-22069,36.30
-20046,36.30
-18024,36.30
-16000,36.30
-13976,36.30
-11953,36.30
-9930,36.30
-7908,36.30
-5885,36.30
-3863,36.30
-1841,36.30
183,36.30
2207,36.30
4231,36.30
6254,36.30
8276,36.30
10299,36.30
12321,36.30
14344,36.30
16367,36.30
18392,36.30
20415,36.30
22437,36.30
24460,36.30
26482,36.30
28505,36.30
30529,36.30
32552,36.30
-30961,36.30
-28939,36.30
-26916,36.30
-24894,36.30
-22871,36.30
-20846,36.30
-18824,36.30
-16801,36.40
-14779,36.70
-12756,36.90
-10732,36.90
-8710,36.90
-6687,36.90
-4665,36.90
-2640,36.90
-29741,36.90
-27718,36.90
-25696,36.90
-23671,36.90
-21649,36.90
-19626,36.90
-17604,36.90
-15580,36.90
-13557,36.90
-11535,36.90
-9512,36.90
-7488,36.90
-5466,36.90
-3443,36.90
-1421,36.90
604,36.90
2626,36.90
4648,36.90
6671,36.90
8695,36.90
10719,36.90
12741,36.90
14764,36.90
16788,36.90
18810,36.90
20833,36.90
22856,36.90
24879,37.00
26901,37.30
28925,37.40
30948,37.40
-32566,37.40
-30543,37.40
-28520,37.40
-26495,37.40
-24473,37.40
-22451,37.40
-20428,37.40
-18404,37.40
-16381,37.40
-14359,37.40
-12337,37.40
-10312,37.40
-8290,37.40
-6267,37.40
-4245,37.40
-2221,37.40
-197,37.40
1825,37.40
3848,37.40
5870,37.40
7894,37.40
9918,37.40
11940,37.40
13963,37.40
15985,37.40
