ms,degC
21397,35.20
23419,35.20
25442,35.20
27466,35.20
29489,35.20
31511,35.20
-32003,35.20
-29978,35.20
-27956,35.20
-25933,35.20
-23911,35.20
-21886,35.20
-19864,35.20
-17842,35.20
-15819,35.20
-13795,35.20
-11772,35.20
-9750,35.20
-7728,35.20
-5705,35.20
-3681,35.20
-1658,35.20
364,35.20
2386,35.40
4411,35.60
6434,35.60
8457,35.60
10479,35.60
12504,35.60
14526,35.60
16548,35.60
18571,35.60
20595,35.60
22618,35.60
24640,35.60
26664,35.60
28687,35.60
30709,35.60
32732,35.60
-30780,35.60
-28757,35.60
-26735,35.60
-24711,35.60
-22688,35.60
-20666,35.60
-18641,35.60
-16619,35.60
-14597,35.60
-12573,35.60
-10551,35.60
