ms,degC
-31529,35.20
-29505,35.20
-27483,35.20
-25460,35.20
-23436,35.20
-21413,35.20
-19391,35.20
-17369,35.20
-15344,35.20
-13322,35.20
-11299,35.20
-9277,35.60
-7252,35.60
-5230,35.60
-3208,35.60
-1183,35.60
839,35.60
2862,35.60
4884,35.60
6908,35.60
8931,35.60
10953,35.60
12978,35.60
15000,35.60
17022,35.60
19047,35.60
31183,36.30
-32330,36.30
-30306,36.30
-28283,36.30
-26261,36.30
-24239,36.30
-22214,36.30
-20192,36.30
-18169,36.30
-16147,36.30
-14122,36.30
-12100,36.30
-10078,36.30
-8055,36.30
-6031,36.30
-4007,36.40
-1985,36.90
37,36.90
2060,36.90
4083,36.90
6108,36.90
8130,36.90
10152,36.90
12175,36.90
14199,36.90
16222,36.90
18244,36.90
20267,36.90
22291,36.90
24313,36.90
26336,36.90
28360,36.90
30383,36.90
32405,36.90
-31109,36.90
-8854,36.90
-6832,36.90
-4809,36.90
-2787,37.00
-762,37.40
1261,37.40
3283,37.40
5306,37.40
7328,37.40
9353,37.40
11376,37.40
13399,37.40
15421,37.40
17444,37.40
19469,37.40
21491,37.40
23514,37.40
25536,37.40
27559,37.40
-12481,37.90
-10459,37.90
