ms,degC
-17359,35.20
-15337,35.20
-13315,35.20
-11290,35.20
-9268,35.20
-7245,35.20
-5221,35.20
-3198,35.20
-1176,35.20
846,35.60
2870,35.60
4894,35.60
6918,35.60
8940,35.60
10962,35.60
12985,35.60
15008,35.60
17033,35.60
19055,35.60
21078,35.60
23100,35.60
25123,35.60
27148,35.60
29170,35.60
31193,35.60
-32321,35.60
-30298,35.60
-28273,35.60
-26251,35.60
-24228,35.70
-22206,36.30
-20183,36.30
-18159,36.30
-16135,36.30
-14111,36.30
-12089,36.30
-10066,36.30
-8044,36.30
-6022,36.30
-3999,36.30
-1977,36.30
46,36.30
2068,36.30
4091,36.30
6115,36.30
8139,36.30
10163,36.30
12185,36.30
14208,36.30
16230,36.30
18252,36.30
20275,36.30
22299,36.30
24323,36.30
26345,36.30
28367,36.30
-27054,36.30
-25031,36.40
-23009,36.60
-20986,36.90
-18962,36.90
-16940,36.90
-14917,36.90
-12895,36.90
-10870,36.90
-8848,36.90
-6825,36.90
-4803,36.90
-2781,36.90
-756,36.90
1267,36.90
3290,36.90
5312,36.90
29590,36.90
31612,36.90
-31900,36.90
-29876,36.90
-27853,36.90
-25831,36.90
-23807,36.90
-21783,36.90
-19761,36.90
-17738,36.90
-15715,36.90
-13690,36.90
-11668,36.90
26766,36.90
28788,36.90
30813,36.90
-32701,36.90
-30679,36.90
-28656,36.90
-26632,36.90
-24609,36.90
-22587,36.90
-20564,36.90
-18541,36.90
-16517,36.90
-14494,36.90
-12472,36.90
-10449,37.00
-8425,37.10
-6403,37.20
-4380,37.40
-2358,37.40
-335,37.40
1687,37.40
3709,37.40
5733,37.40
7757,37.40
9781,37.40
11804,37.40
13827,37.40
15849,37.40
17871,37.40
19894,37.40
21918,37.40
