ms,degC
-31313,34.20
-29290,34.20
-27268,34.70
-25245,34.70
-23222,34.70
-21199,34.70
-19175,34.70
-17152,34.70
-15130,34.70
-13106,35.20
-11083,35.20
-9061,35.20
-7038,35.20
-5014,35.20
-2991,35.20
-968,35.20
1054,35.20
3077,35.20
5101,35.60
7123,35.60
9146,35.60
11168,35.60
13192,35.60
15214,35.60
17236,35.60
19260,35.60
21282,35.60
23305,35.60
25328,35.60
27351,35.60
29373,35.60
31397,35.60
-32116,35.60
-30094,36.00
-28070,36.30
-26046,36.30
-24024,36.30
-22001,36.30
-19977,36.30
-17953,36.30
-15931,36.30
-13908,36.30
-11884,36.30
-9861,36.30
-7838,36.30
-5816,36.30
-3793,36.30
-1769,36.30
253,36.30
2276,36.30
4298,36.30
6321,36.30
8345,36.30
10369,36.30
12391,36.30
14413,36.30
16437,36.30
18461,36.30
20484,36.40
22506,36.60
24530,36.90
26553,36.90
28575,36.90
30598,36.90
32622,36.90
-30892,36.90
-28869,36.90
-26845,36.90
-24822,36.90
-22800,36.90
-20776,36.90
-18754,36.90
-16732,36.90
17659,36.90
19682,36.90
21704,36.90
23727,36.90
25751,36.90
27773,36.90
29796,36.90
31820,36.90
-31693,36.90
-29671,36.90
-27648,36.90
-25624,36.90
-23602,36.90
-21579,36.90
-19555,36.90
-17532,36.90
-15510,36.90
-13486,36.90
-11463,36.90
-9441,36.90
-7418,36.90
-5394,36.90
-3372,36.90
-1349,36.90
673,36.90
2698,36.90
4720,36.90
6743,36.90
8765,36.90
10789,36.90
12812,36.90
14834,36.90
16857,37.00
18881,37.20
20903,37.40
22926,37.40
24948,37.40
26973,37.40
28995,37.40
31017,37.40
-32494,37.40
-30472,37.40
-28449,37.40
-26427,37.40
-24402,37.40
-22380,37.40
-20358,37.40
-18333,37.40
-16311,37.40
